College/University Name,Street,City,State,Latitude,Longitude,Group
Muhlenberg,2400 W Chew St,Allentown,PA,40.59610027,-75.47553833,3.0
Muskingum,163 Stormont St,New Concord,OH,39.99488273,-81.73795112,6.0
Nebraska Wesleyan University,5000 St Paul Ave,Lincoln,NE,40.83878457,-96.64759674,6.0
New England College,"98 Bridge St,",Henniker,NH,43.18151903,-71.8188207,4.0
New York University,383 Lafayette Street,New York,NY,40.727565,-73.993012,3.0
North Central (IL),30 North Brainard Street,Naperville,IL,41.7491725,-88.162019,2.0
Norwich,158 Harmon Dr,Northfield,VT,44.15306006,-72.65573302,4.0
Ohio Northern,525 S Main St,Ada,OH,40.76803657,-83.82468682,6.0
Ohio Wesleyan (add 2018),61 S Sandusky St,Delaware,OH,40.28692355,-83.0752013,
Olivet,320 S Main St,Olivet,MI,42.44399692,-84.92461332,2.0
EXCLUDE Pacific,2043 College Way,Forest Grove,OR,45.52139832,-123.1088146,1.0
Penn State - Behrend (add 2017),4701 Behrend College D,Erie,PA,42.1166824,-80.07314347,4.0
Pennsylvania College (add 2017),1 College Ave,Williamsport,PA,41.234354,-77.021989,5.0
Plymouth State,17 High St,Plymouth,NH,43.74130128,-71.69348379,4.0
Rhode Island,600 Mt Pleasant Ave,Providence,RI,41.844645,-71.457534,4.0
Rochester Institute of Technology,Lomb Memorial Dr,Rochester,NY,42.6687355,-75.44096178,3.0
Roger Williams,1 Old Ferry Road,Bristol,RI,41.67612732,-71.27328702,4.0
Scranton,800 Linden St,Scranton,PA,41.40437294,-75.66491269,4.0
Simpson,"701 N C St,",Indianola,IA,41.36237955,-93.56589233,6.0
Southern Maine,96 Falmouth St,Portland,ME,43.72360765,-70.25557016,4.0
Southern Virginia University,1 University Hill Dr,Buena Vista,VA,37.7315905,-79.35654236,5.0
Springfield,263 Alden Street,Springfield,MA,42.102207,-72.556609,4.0
St. Johns (MN),2850 Abbey Plaza,Collegeville,MN,45.54330591,-94.4447067,6.0
St. Olaf,1520 St Olaf Ave,Northfield,MN,44.45533567,-93.16973796,1.0
Stevens Institute Of Technology,1 Castle Point Terrace,Hoboken,NJ,40.7452002,-74.02797097,3.0
SUNY-Cortland,2 Graham Ave,Cortland,NY,42.6003928,-76.17840765,3.0
SUNY-Oneonta,08 Ravine Pkwy,Oneonta,NY,42.6687355,-75.44096178,3.0
SUNY-Oswego,7060 New York 104,Oswego,NY,42.6687355,-75.44096178,3.0
The College of New Jersey,2000 Pennington Rd,Ewing Township,NJ,40.12272985,-74.70346139,3.0
Thiel,College Ave,Greenville,PA,41.40507533,-80.38381153,6.0
Thomas More College,333 Thomas More Pkwy,Crestview Hills,KY,39.02488752,-84.56955169,2.0
Trine University,1 University Ave,Angola,IN,41.64336701,-85.00412812,2.0
Trinity (CT),300 Summit St,Hartford,CT,41.74513266,-72.69049722,3.0
Ursinus,01 E Main St,Collegeville,PA,40.18724249,-75.45806859,3.0
Wabash,01 W Wabash Ave,Crawfordsville,IN,40.04325862,-86.89669866,2.0
Wartburg,100 Wartburg Blvd,Waverly,IA,42.72512969,-92.46976202,4.0
Washington and Jefferson,60 S Lincoln St,Washington,PA,40.17396328,-80.24672879,6.0
Washington and Lee,"204 W Washington St,",Lexington,VA,37.78251178,-79.44387717,5.0
Waynesburg,51 W College S,Waynesburg,PA,39.8982937,-80.18558176,5.0
Wesleyan (CT),45 Wyllys Ave,Middletown,CT,41.54763592,-72.65487658,4.0
Western New England,1215 Wilbraham Rd,Springfield,MA,42.113406,-72.522606,4.0
Westminster (add 2017),501 Westminster Ave,Fulton,MO,38.850003,-91.954548,2.0
Wheaton (IL),501 College Ave,Wheaton,IL,41.85610452,-88.10861414,1.0
Wilkes,84 W South St,Wilkes-Barre,PA,41.244404,-75.888692,5.0
Williams College,880 Main St,Williamstown,MA,42.70869528,-73.20121253,3.0
Wisconsin-Eau Claire,105 Garfield Ave,Eau Claire,WI,44.82048383,-91.49477515,1.0
Wisconsin-La Crosse,1725 State St,La Crosse ,WI,43.82319993,-91.22774223,1.0
Wisconsin-Oshkosh,800 Algoma Blvd,Oshkosh,WI,44.7536765,-89.63679943,1.0
Wisconsin-Platteville,1 University Plaza,Plattville,WI,42.73326047,-90.47085142,1.0
Wisconsin-Stevens Point,100 Main St,Stevens Point,WI,44.52529024,-89.55483581,1.0
Wisconsin-Whitewater,800 W Main St,Whitewater,WI,44.7536765,-89.63679943,1.0
Worcester Polytechnic,00 Institute Rd,Worcester,MA,42.09684686,-71.51170183,4.0
York (PA),443 Country Club Rd,York,PA,39.96510038,-76.73153121,5.0
